TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Pattani,    Higher education,4,    Academic,Total,26877.04
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Pattani,    Higher education,5,    Technical Education,Total,20553.65
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Pattani,    Higher education,6,    Teacher Training,Total,14443.51
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Yala,    Higher education,4,    Academic,Total,12806.68
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Yala,    Higher education,5,    Technical Education,Total,6636.56
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Yala,    Higher education,6,    Teacher Training,Total,8009.58
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Narathiwat,    Higher education,4,    Academic,Total,30031.27
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Narathiwat,    Higher education,5,    Technical Education,Total,10962.78
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Narathiwat,    Higher education,6,    Teacher Training,Total,20483.89
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Southern Region,    Higher education,4,    Academic,Total,741166.02
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Southern Region,    Higher education,5,    Technical Education,Total,360544.48
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Southern Region,    Higher education,6,    Teacher Training,Total,191168.09
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Nakhon Si Thammarat,    Higher education,4,    Academic,Total,118271.08
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Nakhon Si Thammarat,    Higher education,5,    Technical Education,Total,66628.42
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Nakhon Si Thammarat,    Higher education,6,    Teacher Training,Total,33741.3
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Krabi,    Higher education,4,    Academic,Total,30380.76
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Krabi,    Higher education,5,    Technical Education,Total,12869.78
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Krabi,    Higher education,6,    Teacher Training,Total,5234.45
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Phangnga,    Higher education,4,    Academic,Total,21439.51
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Phangnga,    Higher education,5,    Technical Education,Total,9929.4
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Phangnga,    Higher education,6,    Teacher Training,Total,5302
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Phuket,    Higher education,4,    Academic,Total,76396.96
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Phuket,    Higher education,5,    Technical Education,Total,25567.84
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Phuket,    Higher education,6,    Teacher Training,Total,13709.31
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Surat Thani,    Higher education,4,    Academic,Total,93791.45
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Surat Thani,    Higher education,5,    Technical Education,Total,38090.78
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Surat Thani,    Higher education,6,    Teacher Training,Total,17988.92
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Ranong,    Higher education,4,    Academic,Total,21277.41
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Southern Region,Ranong,    Higher education,5,    Technical Education,Total,8477.5
